correct_answer,question_text,category,isActive
HTML,情報に意味を与える骨格,フロントエンド,1
CSS,見た目と余白を支配する装甲,フロントエンド,1
JavaScript,画面に判断と動きを与える魔力,フロントエンド,1
TypeScript,JavaScriptに型の結界を張る,フロントエンド,1
DOM,ブラウザ上のHTML構造ツリー,フロントエンド,1
CSSOM,ブラウザ上のCSS解釈結果,フロントエンド,1
レンダリング,HTML/CSS/JSを画面に描く処理,フロントエンド,1
リフロー,レイアウトを再計算する重い処理,フロントエンド,1
リペイント,見た目だけを再描画する処理,フロントエンド,1
イベント,ユーザー操作や状態変化の合図,フロントエンド,1
イベントリスナー,合図を待ち受ける番兵,フロントエンド,1
イベントバブリング,子から親へイベントが伝播する現象,フロントエンド,1
preventDefault,ブラウザ標準動作を止める命令,フロントエンド,1
stopPropagation,イベントの伝播を止める命令,フロントエンド,1
Fetch API,JSからHTTP通信する標準武器,フロントエンド,1
Ajax,画面遷移なしで通信する古の総称,フロントエンド,1
Promise,非同期処理の未来の結果,フロントエンド,1
async / await,非同期処理を読みやすく書く詠唱,フロントエンド,1
SPA,1ページ内で画面を切り替える方式,フロントエンド,1
MPA,ページ遷移ごとにHTMLを返す方式,フロントエンド,1
CSR,ブラウザ側で画面を組み立てる,フロントエンド,1
SSR,サーバー側でHTMLを作って返す,フロントエンド,1
SSG,事前にHTMLを生成して配る,フロントエンド,1
ISR,静的生成を後から部分更新する,フロントエンド,1
Hydration,サーバーHTMLにJSの命を吹き込む,フロントエンド,1
React,UIを部品と状態で組む道具,フロントエンド,1
Component,UI部品の最小単位,フロントエンド,1
Props,親から子へ渡す設定値,フロントエンド,1
State,画面の現在状態,フロントエンド,1
Hook,Reactの機能を関数で使う仕組み,フロントエンド,1
useEffect,表示後や状態変化後に副作用を走らせる,フロントエンド,1
useMemo,重い計算結果を再利用する,フロントエンド,1
useCallback,関数自体を再利用する,フロントエンド,1
Context,深い階層へ値を共有する抜け道,フロントエンド,1
Zustand,軽量な状態管理ライブラリ,フロントエンド,1
Redux,大規模状態管理の古強者,フロントエンド,1
Recoil,React向け状態管理の一派,フロントエンド,1
Next.js,Reactにルーティングとサーバー機能を足す城,フロントエンド,1
App Router,Next.jsの新しめのルーティング体系,フロントエンド,1
Server Component,サーバー側で動くReact部品,フロントエンド,1
Client Component,ブラウザ側で動くReact部品,フロントエンド,1
Route Handler,Next.js内のAPI窓口,フロントエンド,1
Middleware,リクエストの途中で処理を挟む門番,フロントエンド,1
Suspense,読み込み待ちUIを制御する仕組み,フロントエンド,1
Error Boundary,React画面のクラッシュを局所化する防壁,フロントエンド,1
Tailwind CSS,小さなクラスで見た目を組む武器庫,フロントエンド,1
Utility Class,単機能のCSSクラス,フロントエンド,1
Design Token,色・余白・文字サイズなどの設計変数,フロントエンド,1
BEM,CSSクラス命名の秩序,フロントエンド,1
CSS Modules,CSSの影響範囲を部品に閉じ込める,フロントエンド,1
Styled Components,JS内でCSSを書く方式,フロントエンド,1
Sass / SCSS,CSSを拡張する記法,フロントエンド,1
PostCSS,CSSを変換・加工する処理装置,フロントエンド,1
Vite,高速な開発ビルドツール,フロントエンド,1
Webpack,JS/CSSを束ねる巨大鍛冶場,フロントエンド,1
Babel,新しいJSを古い環境向けに変換する,フロントエンド,1
ESLint,JS/TSコードの規律チェック,フロントエンド,1
Prettier,コード整形の自動清掃兵,フロントエンド,1
Storybook,UI部品を単体確認する展示場,フロントエンド,1
Playwright,ブラウザ操作を自動テストする魔眼,フロントエンド,1
Cypress,E2Eテストの古参兵,フロントエンド,1
Lighthouse,速度・SEO・品質の監査官,フロントエンド,1
Core Web Vitals,Googleが見る体感速度指標,フロントエンド,1
LCP,メイン表示が出るまでの時間,フロントエンド,1
CLS,表示中のガタつき量,フロントエンド,1
INP,操作への反応速度,フロントエンド,1
Lazy Load,必要になるまで読み込まない怠惰術,フロントエンド,1
Code Splitting,必要なJSだけ分割して読む,フロントエンド,1
Tree Shaking,使ってないコードを削る枝払い,フロントエンド,1
Web Accessibility,誰でも使えるUIにする思想,フロントエンド,1
ARIA,補助技術へ意味を伝える属性,フロントエンド,1
Semantic HTML,タグの意味を正しく使う作法,フロントエンド,1
Responsive Design,画面幅に応じて崩れない設計,フロントエンド,1
Fluid Layout,固定ではなく流動的に伸縮する設計,フロントエンド,1
Container Query,親要素の幅で見た目を変えるCSS,フロントエンド,1
View Transition API,画面遷移を滑らかにする新兵器,フロントエンド,1
PHP,サーバー側でHTMLや処理を作る言語,バックエンド,1
Laravel,PHPでWebアプリを秩序立てる城,バックエンド,1
WordPress,管理画面付きサイト生成システム,バックエンド,1
Node.js,JavaScriptをサーバー側で動かす環境,バックエンド,1
Request,クライアントから来た要求,バックエンド,1
Response,サーバーから返す返答,バックエンド,1
Routing,URLと処理を結びつける地図,バックエンド,1
Controller,リクエストを受けて処理を振り分ける指揮所,バックエンド,1
Model,データ構造とDB操作の窓口,バックエンド,1
View,画面表示のテンプレート,バックエンド,1
MVC,処理・データ・表示を分ける設計,バックエンド,1
Service,業務ロジックを担当する処理部隊,バックエンド,1
Repository,データ取得・保存を隠す倉庫係,バックエンド,1
DTO,データ受け渡し専用の箱,バックエンド,1
Value Object,意味を持った値の型,バックエンド,1
Entity,業務上の存在を表すオブジェクト,バックエンド,1
ORM,DBの行をオブジェクトとして扱う道具,バックエンド,1
Eloquent,Laravel標準のORM,バックエンド,1
Query Builder,SQLをコードで安全に組む道具,バックエンド,1
Migration,DB構造の変更履歴,バックエンド,1
Seeder,初期データ投入装置,バックエンド,1
Factory,テスト用データ生成機,バックエンド,1
Middleware,処理前後に挟む門番,バックエンド,1
Validation,入力値の検査,バックエンド,1
Sanitization,入力値を安全な形に整える,バックエンド,1
Escape,出力時に危険文字を無害化する,バックエンド,1
Authentication,本人確認,バックエンド,1
